i,j,x
916,6,1
916,10,1
918,16,1
919,21,1
919,46,1
919,54,1
919,63,1
920,33,1
920,46,1
920,63,1
921,33,1
921,46,1
921,63,1
922,17,1
922,64,1
923,22,1
923,32,1
924,7,1
924,46,1
924,63,1
925,1,1
925,4,2
925,20,1
926,1,1
926,20,1
926,26,1
927,1,2
927,18,1
927,20,1
928,7,1
928,8,1
928,20,3
928,62,1
929,17,1
929,18,1
929,20,1
929,39,3
930,6,1
930,19,1
931,51,1
932,8,1
932,17,1
934,20,1
934,24,1
934,64,1
935,6,1
935,24,1
936,20,1
936,21,1
936,41,1
937,18,1
937,20,2
937,52,1
938,19,1
938,20,2
938,26,1
939,20,2
939,51,1
940,22,1
940,32,1
941,23,1
941,58,2
942,23,1
944,1,1
945,6,1
945,10,1
946,1,1
947,1,1
947,18,1
947,20,1
948,16,1
950,1,1
950,8,1
951,4,1
951,20,1
952,1,2
952,18,1
952,19,1
952,24,1
953,1,1
953,7,1
953,10,1
953,20,1
954,1,1
954,18,1
954,24,1
954,64,1
955,33,2
956,16,1
957,1,1
957,12,1
957,14,1
958,53,1
959,1,1
959,20,1
959,24,1
959,26,1
960,23,1
960,31,1
961,20,1
961,51,1
962,7,1
963,54,1
964,10,1
966,14,1
967,19,1
967,26,1
968,1,1
968,18,1
969,16,1
969,23,1
970,1,1
970,19,2
970,20,1
970,52,1
970,64,1
971,1,1
971,19,1
972,6,1
972,10,1
973,52,1
974,19,2
975,19,1
975,45,1
975,52,1
976,20,1
977,23,1
978,8,1
978,9,1
980,1,2
980,18,1
980,19,1
980,20,2
980,24,1
981,17,1
981,23,1
982,1,1
983,14,1
984,17,1
984,19,1
984,23,1
985,20,1
985,59,1
986,1,1
986,17,1
986,18,1
986,19,1
986,20,1
986,35,1
986,41,1
987,6,1
987,10,1
988,20,1
989,24,1
989,26,1
990,20,1
990,52,1
992,19,1
992,41,1
992,64,1
993,1,1
993,24,1
994,17,1
994,19,1
994,20,1
996,19,2
996,47,1
997,1,1
998,19,2
998,20,1
1000,23,1
1000,40,1
1001,17,1
1001,29,1
1002,7,1
1002,29,1
1003,16,1
1005,19,1
1006,43,1
1006,57,1
1007,19,1
1007,20,1
1008,12,1
1008,17,1
